,artist,title,review_link,album_track,genre,artwork,preview,score,author
10,Sufjan Stevens,“America”,/reviews/tracks/sufjan-stevens-america/,Track,['Folk/Country'],https://media.pitchfork.com/photos/5eff4e908813ffa92664f02e/1:1/w_160/Sufjan-Stevens-America.jpg,"“Christ would be ashamed of us all,” Sufjan Stevens wrote on Tumblr in early 2017, about the refugee crisis, days after the inauguration of Donald Trump “The truest of ‘Americans,’” he wrote, “have either been destroyed by the white immigrant, incarcerated, isolated, held captive, or stolen and enslaved",N/A,Sam Sodomsky
11,Megan Thee Stallion,“Girls in the Hood”,/reviews/tracks/megan-thee-stallion-girls-in-the-hood/,Track,['Rap'],https://media.pitchfork.com/photos/5ef64ec7464fe661509aa943/1:1/w_160/girlsthehood.jpg,"So much of Megan Thee Stallion’s music is about retaking power from men, and she refuses to placate the fragile male ego She has an alter ego (Tina Snow) that centers a woman as a pimp, and she is constantly asserting her sexual authority",N/A,Sheldon Pearce
12,Kareem Ali,“Night Echoes”,/reviews/tracks/kareem-ali-night-echoes/,Track,[],https://media.pitchfork.com/photos/5ef22748464fe661509aa4c2/1:1/w_160/kareem.jpg,"Phoenix, Arizona isn’t known for being a hotbed of electronic music, but that hasn’t held back Kareem Ali Ali’s productions bring together the futurist yearning of classic Detroit techno and the sentimental moods of true deep house, with forays into ambient, broken beat, and drum’n’bass; the motivating spirit of his music is self-evident in titles like Black Freedom, Black Advancement, and Black Power",N/A,Philip Sherburne
13,Special Interest,“Street Pulse Beat”,/reviews/tracks/special-interest-street-pulse-beat/,Track,['Rock'],https://media.pitchfork.com/photos/5ef0c67c7bb7acb328d56dfb/1:1/w_160/streetpulse.jpg,"Special Interest are a New Orleans punk band who just put out their second album, The Passion Of It’s one of those records that makes you stand up because no one should listen to it sitting down",N/A,Jeremy D. Larson
14,Drakeo the Ruler,“Backflip or Sumn”,/reviews/tracks/drakeo-the-ruler-backflip-or-sumn/,Track,['Rap'],https://media.pitchfork.com/photos/5edfbe1010c4091e9eff7a0d/1:1/w_160/drakeo.jpg,"Drakeo the Ruler is fighting for his freedom a second time in two years After being found not guilty on charges of murder and attempted murder last year, he is again awaiting trial",N/A,Sheldon Pearce
15,Oneness of Juju,African Rhythms 1970-1982,/reviews/albums/oneness-of-juju-african-rhythms-1970-1982/,Album,['Jazz'],https://media.pitchfork.com/photos/5f0df82a100081be06438995/1:1/w_160/African%20Rhythms%201970-82_Oneness%20of%20JuJu.jpg,"A landmark anthology originally released in 2001 documents how James “Plunky Nkabinde” Branch and his groups connected jazz, R&B, and funk through Afrocentric rhythms and spirituality.",8.4,Piotr Orlov
16,Albert Ayler,New Grass,/reviews/albums/albert-ayler-new-grass/,Album,['Jazz'],https://media.pitchfork.com/photos/5efa1711f3cd35af1ec2e697/1:1/w_160/New%20Grass_Albert%20Ayler.jpg,"The tenor saxophonist’s beguiling and divisive 1969 album attempted to cross-wire free jazz with rock, funk, and soul. It remains his most misunderstood record. ",8.7,Fred Thomas
17,Hiroshi Yoshimura,GREEN,/reviews/albums/hiroshi-yoshimura-green/,Album,['Electronic'],https://media.pitchfork.com/photos/5ef27832a9d0807aa5683e8b/1:1/w_160/GREEN_Hiroshi%20Yoshimura.jpg,"The Japanese ambient pioneer’s well-deserved revival continues with a reissue of this 1986 cult classic, which feels like an inviting frame in which to project your own feelings.",8.8,Philip Sherburne
18,Neil Young,Homegrown,/reviews/albums/neil-young-homegrown/,Album,['Rock'],https://media.pitchfork.com/photos/5ee905a27bb7acb328d56837/1:1/w_160/Homegrown_Neil%20Young.jpg,"After 46 years, Neil Young unearths a lost but highly consequential album, a collection of humble, stripped-back love songs he began writing at what was arguably the artistic zenith of his career.",8.8,Emilie Friedlander
19,Bessie Jones and the Georgia Sea Island Singers,Get in Union,/reviews/albums/bessie-jones-and-the-georgia-sea-island-get-in-union/,Album,['Folk/Country'],https://media.pitchfork.com/photos/5ee90029464fe661509a9e51/1:1/w_160/Get%20In%20Union_Bessie%20Jones%20and%20the%20Georgia%20Sea%20Island%20Singers.jpg,The reissued compilation from the great American folk and gospel singer is a generous introduction to a historically muted view of Black life in the South.,8.3,Allison Hussey
20,Pharoah Sanders,Live in Paris (1975),/reviews/albums/pharoah-sanders-live-in-paris-1975/,Album,['Jazz'],https://media.pitchfork.com/photos/5e909b2385f3a70008b09d24/1:1/w_160/liveinparis.jpg,Pharoah Sanders’ group rolled up all the best qualities from his early-1970s LPs into a newly reissued set that bursts with joy and discovery. It’s a concert that sounds more like a party than a seance.,9.0,Mark Richardson
